id,name,email,city,event,event_datetime
9,Debra Owen,danielle36@example.com,Port Nicholaston,cart,2025-12-15 22:58:38.463178
15,William Fletcher,wallacestacey@example.org,East Jonathan,purchase,2025-12-15 22:58:38.463178
45,Michael Sanders,mariabrown@example.net,Webbside,purchase,2025-12-15 22:58:38.463178
29,Kathleen Yates,znguyen@example.org,West Davidton,logout,2025-12-15 22:58:38.463178
49,Crystal Reese,vmcneil@example.org,Robertland,purchase,2025-12-15 22:58:38.463178
24,Andrew Phillips,zconway@example.org,Martinborough,cart,2025-12-15 22:58:38.463178
55,Vanessa Randolph,christine83@example.net,Lisaton,cart,2025-12-15 22:58:38.463178
41,Julie Jackson,ljohnson@example.net,Lake Robert,cart,2025-12-15 22:58:38.463178
55,Carlos Cobb,jwilliams@example.com,Lake Ethanview,purchase,2025-12-15 22:58:38.463178
67,Victoria Miller,ureilly@example.com,Jacksonmouth,cart,2025-12-15 22:58:38.463178
